pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
169.7,-120.8,0.0,top,R108,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3K6,smt
201.74,-138.0,0.0,top,R109,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3K6,smt
127.43,-108.87,180.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.4K,smt
77.15,-112.9,180.0,top,R110,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
163.4,-136.4,180.0,top,R111,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10R,smt
122.05,-96.54,90.0,top,R12,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
90.14,-77.19,0.0,top,R13,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.65K,smt
89.04,-72.08,-90.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.15K,smt
125.39,-96.19,0.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.8K,smt
94.53,-73.15,0.0,top,R16,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,5.1K,smt
134.3975,-102.36,0.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
98.14,-73.11,0.0,top,R18,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,320,smt
97.11,-83.26,-90.0,top,R19,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12K,smt
82.88,-74.4,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
130.88,-103.73,-90.0,top,R20,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68K,smt
130.92,-107.86,-90.0,top,R21,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7.5K,smt
110.795,-86.305,0.0,top,R22,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.30K,smt
106.805,-74.065,0.0,top,R23,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
111.115,-74.135,0.0,top,R24,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.00K,smt
126.29,-115.15,0.0,top,R25,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
122.185,-83.005,90.0,top,R26,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470,smt
126.32,-113.01,0.0,top,R27,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,182K,smt
132.285,-83.375,0.0,top,R28,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.30K,smt
156.573,-76.52,180.0,top,R29,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.80K,smt
82.64,-78.49,-90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,13K,smt
156.523,-78.7125,0.0,top,R30,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14.3K,smt
128.895,-74.395,0.0,top,R31,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
134.96,-112.99,0.0,top,R32,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.0K,smt
156.473,-80.88,0.0,top,R33,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
132.975,-74.445,0.0,top,R34,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.00K,smt
