Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,pn,Info,Volt,Sim.Device,Sim.Pins,Field6
J101,1,38VDC,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
J102,1,Power LED,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,,
J103,1,Counter pwr,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,,
J11,1,Output,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,1 Inner Hole BNC Board-End Elbow 3GHz -55℃~+155℃ 75Ω 9.58mm Plugin Coaxial Connectors (RF) ROHS,,,,
J13,1,LCD,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,,,,
J2,1,R520,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,
J3,1,R530,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,
J6,1,Freq Selection,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,,,,
J7,1,Output Volume,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,,,,
J8,1,Output on/off,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,
"K1, K2, K3, K4, K5, K6",6,G6K-2-Y 12V,Relay_DPDT_Omron_G6K-2F-Y,,,,smt,"Miniature 2-pole relay, Single-side Stable",,,,,,
Q1,1,MMBF4391,SOT-23,,,,smt,"50mA min, 30V, 30mOhm max, 4-10V Vgs(off), N-Channel JFET, SOT-23",,,,,,
Q1a1,1,151-1021-00,TO-92-Tek-sockets,,,,tht,"N-JFET transistor, gate/source/drain",,,,,,
"Q2, Q4, Q6",3,MMBT3906,SOT-23,,,,smt,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-23",,,,,,
"Q3, Q5",2,MMBT3904,SOT-23,,,,smt,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",,,,,,
Q7,1,MMBF4416A,SOT-23,,,,smt,"N-JFET transistor, drain/source/gate",,,,,,
Q8,1,AO3400A,SOT-23,,,,smt,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",,,,,,
R1,1,7.87K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,CRCW08057K87FKEA,125mW Thick Film Resistors ±100ppm/℃ ±1% 7.87kΩ 0805 Chip Resistor - Surface Mount ROHS,,,,
"R10, R9",2,1.00M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,1%,,,,
R101,1,1K8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
